,open,close,high,low,volume,money
2016-08-09,158.72,158.84,158.84,158.71,47599600.0,506808795.0
2016-08-10,158.85,158.92,158.93,158.84,59798200.0,629937494.0
2016-08-11,158.94,158.97,158.97,158.92,26759700.0,282046359.0
2016-08-12,158.99,159.06,159.06,158.98,28157400.0,299535275.0
2016-08-15,159.11,159.16,159.18,159.06,29355600.0,313267276.0
2016-08-16,159.17,159.2,159.21,159.15,32332000.0,343622499.0
2016-08-17,159.21,159.19,159.22,159.16,24835700.0,265147948.0
2016-08-18,159.21,159.21,159.22,159.17,68604600.0,708275405.0
2016-08-19,159.23,159.21,159.23,159.2,20659800.0,221259673.0
2016-08-22,159.25,159.18,159.26,159.15,20126800.0,213025176.0
2016-08-23,159.19,159.2,159.22,159.18,28945600.0,300878272.0
2016-08-24,159.22,159.15,159.22,159.14,20963600.0,221403134.0
2016-08-25,159.17,159.18,159.24,159.15,51585000.0,538922005.0
2016-08-26,159.2,159.21,159.21,159.18,17035500.0,178850934.0
2016-08-29,159.25,159.23,159.25,159.23,10031400.0,105841249.0
2016-08-30,159.25,159.2,159.25,159.19,45380200.0,464887085.0
2016-08-31,159.21,159.22,159.22,159.19,39280000.0,417581474.0
2016-09-01,159.23,159.22,159.23,159.2,23870000.0,253656117.0
2016-09-02,159.23,159.24,159.24,159.2,27171900.0,281170251.0
2016-09-05,159.28,159.26,159.29,159.24,14442000.0,148621392.0
2016-09-06,159.28,159.26,159.29,159.25,11128400.0,116515575.0
2016-09-07,159.27,159.23,159.3,159.2,21697000.0,226371845.0
2016-09-08,159.25,159.28,159.29,159.24,15221100.0,156404824.0
2016-09-09,159.29,159.33,159.33,159.28,16554200.0,174919394.0
2016-09-12,159.38,159.36,159.38,159.31,13432600.0,142184886.0
2016-09-13,159.37,159.4,159.4,159.36,34596200.0,361538704.0
2016-09-14,159.41,159.43,159.43,159.4,11592900.0,122577948.0
2016-09-19,159.5,159.39,159.5,159.37,10135300.0,106604479.0
2016-09-20,159.41,159.45,159.46,159.41,33122100.0,344770859.0
2016-09-21,159.46,159.5,159.5,159.46,18209500.0,189435921.0
2016-09-22,159.51,159.53,159.53,159.51,18482000.0,191649029.0
2016-09-23,159.54,159.56,159.59,159.53,29674200.0,314443547.0
2016-09-26,159.61,159.61,159.62,159.57,22970300.0,243046703.0
2016-09-27,159.63,159.62,159.64,159.62,14550300.0,153144065.0
